Column 2,Column 9,Column 10,Column 11,Column 12,Column 47
Molecule ChEMBL ID,Smiles,Standard Type,Standard Relation,Standard Value,
CHEMBL4173544,COc1cccc(S(=O)(=O)Nc2ccc(C3(O)CSC(=S)N3Cc3cccnc3)cc2)c1,AC50,'=',5950.0,
CHEMBL4159341,O=c1ccc2cc(S(=O)(=O)Nc3ccc(C4(O)CSC(=S)N4Cc4cccnc4)cc3)ccc2o1,AC50,'>',20000.0,
CHEMBL3335791,COc1ccccc1N1CCN(C(=O)c2ccc(NS(=O)(=O)c3cccc4cccnc34)cc2)CC1,AC50,'=',17.0,
CHEMBL2178676,CS(=O)(=O)N1CCc2cc(S(=O)(=O)c3ccc4c(c3)OCCO4)ccc21,AC50,'=',45.0,
CHEMBL1235112,O=C(COP(=O)(O)O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O,AC50,'=',23.0,
CHEMBL3104575,O=C(c1cc(Br)c[nH]1)N(Cc1ccc(Cl)cc1)CC1CCC1,AC50,,,
CHEMBL3104566,O=C(c1cc(Br)c[nH]1)N(Cc1ccccc1)CC1CCC1,AC50,'=',2300.0,
CHEMBL4543609,C=C1C(=O)O[C@H]2[C@H]1CC/C(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOC(=O)/C1=C/CC[C@@]3(C)O[C@H]3[C@H]3OC(=O)C(=C)[C@@H]3CC1)=C\CC[C@@]1(C)O[C@@H]21,AC50,'=',65.0,
CHEMBL4161075,O=S(=O)(Nc1ccc(C2(O)CSC(=S)N2CCc2cccnc2)cc1)c1ccc2c(c1)OCCO2,AC50,'>',20000.0,
CHEMBL2386926,Cc1cn2c(=O)cc(Cn3cnc4ccccc43)nc2s1,AC50,'=',466.0,
CHEMBL2386922,Cc1cccn2c(=O)cc(Cn3cnc4ccccc43)nc12,AC50,'=',145.0,
CHEMBL2386919,O=c1cc(Cn2cnc3ccccc32)nc2ccc(Cl)cn12,AC50,'=',219.0,
CHEMBL2386918,Cc1ccn2c(=O)cc(Cn3cnc4ccccc43)nc2c1,AC50,'=',216.0,
CHEMBL3104584,O=C(c1cc(Cl)n[nH]1)N(Cc1ccc(O)cc1F)CC1CCC1,AC50,'=',62.0,
